Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
Benji Off the Leash	Drama	PG	USA	3	0	0	n		1512000	8.20.04	877	3785401	
Beyond the Gates	Documentary	PG-13	USA		0	0	n		36412	11.5.04	5	36412	
Beyond the Sea	Biography	PG-13	USA / Germany / UK	3	0	0	n	24000000	45264	12.17.04	6	6144806	179558
Birth	Drama	R	USA	3.5	0	0	n	20000000	1705577	10.29.04	550	5005883	953661
Blade: Trinity	Action	R	USA	1.5	0	0	y	65000000	16061271	12.10.04	2912	52397389	6527178
Bobby Jones: Stroke of Genius	Biography 	PG	USA	3	0	0	n		1233297	4.30.04	1332	2694071	
Born Into Brothels	Documentary	R	India / USA	3.5	0	0	n		10580	12.10.04	1	3410863	
"Breakin' All the Rules"	Comedy	PG-13	USA	3	0	0	n		5088577	5.14.04	1318	11827301	
Bridget Jones: The Edge of Reason	Drama	R	UK / France / Germany / Ireland / USA	3	0	0	y	70000000	8684055	11.12.04	530	40203020	35612127
Bright Young Things	Comedy	R	UK	3.5	0	0	n		46926	8.20.04	3	931755	869053
"Broken Lizard's Club Dread"	Comedy	R	USA	2.5	0	0	n	9000000	3035688	2.27.04	1807	4992159	32265
Bukowski: Born Into This	Documentary		USA	3.5	0	0	n		6810	5.28.04	6	303490	
Callas Forever	Drama	PG-13	Italy / France / Spain / UK / Romania	2.5	0	0	n		37855	11.5.04	5	445996	
Carandiru	Drama	R	Brazil / Argentina	3	0	0	n	6000000	17945	5.14.04	6	213954	
Catch That Kid	Action 	PG	USA/GERMANY	3	0	0	n	18000000	5824860	2.6.04	2847	16702864	
Catwoman	Action	PG-13	USA	1	0	0	n	85000000	16728411	7.23.04	3117	40198710	1158075
Cellular	Thriller	PG-13	USA / Germany	3.5	0	0	n	25000000	10100571	9.10.04	2749	32003620	882493
Chasing Liberty	Comedy	PG-13	USA/cz	2	0	0	n	23000000	6081483	1.9.04	2400	12189514	
Christmas with the Kranks	Comedy	PG	USA	1	0	0	n	60000000	21570867	11.26.04	3393	73701902	3843392
"Clifford's Really Big Movie"	Animation	G	USA		0	0	n	70000	657785	4.23.04	471	2831130	
Closer	Drama	R	USA	4	2	0	n	27000000	7707972	12.3.04	476	33987757	7968183
Code 46	Romance	R	UK	2.5	0	0	n	7500000	20170	8.6.04	3	197148	
