Program	Network	Rating rank	HH US AA%	HH US Shr	18-49 AA%	18-49 Shr	Type	Drama	Sports	Comedy	NBC	ABC	CBS	FOX	UPN	FOXDrama	FOXSports	FOXComedy	NBCDrama	NBCSports	NBCComedy	ABCDrama	ABCSports	ABCComedy	CBSDrama	CBSSports	CBSComedy	UPNDrama	UPNSports	UPNComedy	Log HH share
SECRET LIVES OF MEN	ABC	3.200000000e+001	8.200000000e+000	1.300000000e+001	5.800000000e+000	1.500000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
SPIN CITY	ABC	3.300000000e+001	8.200000000e+000	1.300000000e+001	5.500000000e+000	1.500000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
WILL & GRACE-THU	NBC	3.400000000e+001	8.200000000e+000	1.500000000e+001	5.800000000e+000	1.800000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.176091259e+000
ALLY MCBEAL	FOX	3.500000000e+001	8.100000000e+000	1.200000000e+001	6.300000000e+000	1.600000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.079181246e+000
PRACTICE, THE	ABC	3.600000000e+001	8.100000000e+000	1.400000000e+001	4.800000000e+000	1.200000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.146128036e+000
PROVIDENCE	NBC	3.700000000e+001	8.100000000e+000	1.600000000e+001	3.900000000e+000	1.400000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.204119983e+000
DIAGNOSIS MURDER	CBS	3.800000000e+001	8.000000000e+000	1.300000000e+001	2.500000000e+000	7.000000000e+000	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
20/20-SUN	ABC	3.900000000e+001	7.900000000e+000	1.200000000e+001	4.200000000e+000	1.000000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.079181246e+000
KING OF QUEENS	CBS	4.000000000e+001	7.900000000e+000	1.300000000e+001	3.800000000e+000	1.100000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
20/20-MON	ABC	4.100000000e+001	7.800000000e+000	1.300000000e+001	3.400000000e+000	1.000000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
48 HOURS	CBS	4.200000000e+001	7.800000000e+000	1.300000000e+001	3.100000000e+000	9.000000000e+000	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000
